country,countryiso3code,population_2022,population_2021,population_2020,population_2019,population_2018,population_2017,population_2016,population_2015,gdp_2022,gdp_2021,gdp_2020,gdp_2019,gdp_2018,gdp_2017,gdp_2016,gdp_2015,unemployment_rate_2022,unemployment_rate_2021,unemployment_rate_2020,unemployment_rate_2019,unemployment_rate_2018,unemployment_rate_2017,unemployment_rate_2016,unemployment_rate_2015,inflation_rate_2022,inflation_rate_2021,inflation_rate_2020,inflation_rate_2019,inflation_rate_2018,inflation_rate_2017,inflation_rate_2016,inflation_rate_2015,exports_2022,exports_2021,exports_2020,exports_2019,exports_2018,exports_2017,exports_2016,exports_2015,gdp_per_capita_2022,gdp_per_capita_2021,gdp_per_capita_2020,gdp_per_capita_2019,gdp_per_capita_2018,gdp_per_capita_2017,gdp_per_capita_2016,gdp_per_capita_2015,life_expectancy_2022,life_expectancy_2021,life_expectancy_2020,life_expectancy_2019,life_expectancy_2018,life_expectancy_2017,life_expectancy_2016,life_expectancy_2015,pm25_air_pollution_2022,pm25_air_pollution_2021,pm25_air_pollution_2020,pm25_air_pollution_2019,pm25_air_pollution_2018,pm25_air_pollution_2017,pm25_air_pollution_2016,pm25_air_pollution_2015,education_expenditure_2022,education_expenditure_2021,education_expenditure_2020,education_expenditure_2019,education_expenditure_2018,education_expenditure_2017,education_expenditure_2016,education_expenditure_2015,undernourishment_rate_2022,undernourishment_rate_2021,undernourishment_rate_2020,undernourishment_rate_2019,undernourishment_rate_2018,undernourishment_rate_2017,undernourishment_rate_2016,undernourishment_rate_2015,health_expenditure_2022,health_expenditure_2021,health_expenditure_2020,health_expenditure_2019,health_expenditure_2018,health_expenditure_2017,health_expenditure_2016,health_expenditure_2015,infant_mortality_rate_2022,infant_mortality_rate_2021,infant_mortality_rate_2020,infant_mortality_rate_2019,infant_mortality_rate_2018,infant_mortality_rate_2017,infant_mortality_rate_2016,infant_mortality_rate_2015
Africa Eastern and Southern,AFE,720859132,702977106,685112979,667242986,649757148,632746570,616377605,600008424,1183962133998.87,1086772164579.87,929074086484.093,1006527294483.09,1012719339457.72,940105480733.676,829829959319.292,899295676086.836,7.4482217862402,7.96449309355542,7.66116109948316,7.24466987969725,7.06844009954607,7.12303202761927,7.02762996710982,6.88031174359159,10.7737512242899,7.24097765588442,5.40516207933392,4.65366473106483,4.72080474200535,6.39934341569381,6.57139642173964,5.24587835022454,326718547664.83,281717490233.376,204732254573.379,240591463555.333,256379225272.834,223979161028.442,192934874889.512,216244849609.122,1642.43203899493,1545.95669660381,1356.08887141531,1508.48688648948,1558.61207925907,1485.7535786147,1346.30128120779,1498.80508358802,62.8990306485382,62.4545896453863,63.313860330682,63.7556779176533,63.3658626111831,62.9223896233502,62.444050201953,61.8564581403595,NA,NA,NA,NA,NA,NA,NA,NA,4.62862396240234,4.77132606506347,4.35243988037109,4.94431734085083,4.97993087768555,4.87887001037598,4.66556310653687,4.75847005844116,NA,26.101029193879,25.3212593344848,24.3744402986052,23.5280263131831,23.3376746837336,22.9620875206677,22.2784435201486,NA,92.2863864495709,81.4924179824656,89.9445460259529,92.9642508697595,92.9328629491339,88.7445659145673,93.7748478025413,40.7976245515238,41.8238205975898,42.8588881720741,43.8966995613375,45.0873693467249,46.4228525409571,47.7925648637451,49.1370605542711
Africa Western and Central,AFW,490330870,478185907,466189102,454306063,442646825,431138704,419778384,408690375,877140805320.357,845993047006.805,787146719022.421,823933630796.516,768189587833.624,685750159763.133,692181085843.488,769367317617.821,3.7377655118933,4.52401613539756,4.69749668526263,4.24794393851122,4.22416721373206,4.2041704106045,4.13994847035832,4.20456155793808,7.96757361617945,3.65353287214209,2.43760882182236,1.76011151192938,1.78404994832039,1.72548602374723,1.48741550755546,2.13081738058791,NA,NA,NA,NA,NA,NA,NA,NA,1788.8753472127,1769.17185266776,1688.47087082362,1813.60914568405,1735.44583276662,1590.5557849502,1648.92026894717,1882.51880807768,57.626176164197,56.9886567820139,57.2263727312399,57.5557955517512,57.1891392680655,56.888445830282,56.5816784850503,56.1958723463673,NA,NA,NA,NA,NA,NA,NA,NA,2.90529441833496,3.20348429679871,3.39874076843262,3.04739952087402,3.0234580039978,3.36085367202759,2.66773080825806,2.98419797420501,NA,15.1128497939008,13.9089231734595,12.8242352037965,11.8669185186284,11.6934845303224,11.5534969610136,11.4991884171969,NA,72.9596388302349,64.6460439896129,61.8668835109289,59.4437737904965,60.6495252439816,62.5061628544771,71.6926286025817,59.1300287464564,60.6793347332484,62.1598631508913,63.598750347799,65.0073985216766,66.3046020873175,67.4934964072205,68.6722268992438
Arab World,ARB,464684914,456520777,449228296,441467739,432545676,423664839,415077960,406501999,3613682354462.24,2969116805615.58,2576553324185.61,2898668715645.56,2865543585777.95,2571053716382.94,2499965913229.88,2544136348540.18,9.86965632118725,10.7832971150998,11.2313838426467,10.1413306101718,10.5986007596487,11.0687158153229,10.8073210701761,11.0704528945073,4.99502075060902,2.96581008346283,1.61222220402456,1.04883403678997,2.76275077032944,2.06932928164433,2.37271603075831,1.83135233156368,NA,NA,921893911752.067,1249077432910.92,1289891302479.46,1093287998505.37,953651585024.316,1042989322707.64,7776.62937958481,6503.79337634305,5735.50986687093,6565.98083975861,6624.83465856668,6068.60300810317,6022.88281755523,6258.60722652973,71.227274454743693,70.814483021063,70.9233595872331,71.8446260250446,71.6330166549463,71.4295960025113,70.9430622781923,70.7582222288211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.86020994186401,NA,NA,NA,NA,NA,12.2865795565579,11.9864868389581,12.0418499632765,12.0823833444772,12.1460369338527,11.7763166369671,11.2394350815381,NA,401.863401164089,380.651568760676,374.958958201344,367.976209156136,352.245384276453,360.470501390027,337.753756107532,23.971367940196,24.580502726064,25.0142508021769,25.729853372542,26.4449549512885,26.8932613327717,27.4713618238956,28.0456456398904
Caribbean small states,CSS,3147057,3128519,3106185,3090374,3058106,3016651,2993247,2969980,48138054138.9849,36706592898.6925,31378030000.782,37621010338.3616,36225416548.2006,34921587493.3397,33451252507.2663,34538256117.6859,10.7078632981246,12.3954073961092,13.3550636913219,10.8562293538131,11.1749613879246,10.9611837901566,11.5331435195688,11.5789445340356,6.19597434778739,2.23684975359863,-0.294805105674599,1.17221285357721,1.24500040905268,1.51820700736147,0.141816225732312,-0.861584009427748,NA,NA,NA,NA,NA,NA,NA,NA,15296.212982156,11732.8975463126,10101.7904602533,12173.610811624,11845.703369406,11576.2769685123,11175.5737188632,11629.1207744449,71.0346770865605,70.4817910938051,72.3312275141371,72.3737406068003,72.7112410753584,72.4446539898052,72.2220822250887,71.8831902659277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.83405558360767,5.03503572777052,5.20264812683851,5.28883765048462,5.50366694594209,5.61577654054954,5.89463618948516,NA,725.18903651695,691.322074362618,706.485857374526,668.867446129374,660.551711259731,604.891196250447,611.065203867131,15.869480973001,16.3693106180666,16.8188716726261,17.6779061809507,17.5969906362262,18.0515969842358,18.5129790923793,18.9607637480443
Central Europe and the Baltics,CEB,100108262,101413157,102180124,102398537,102538451,102740078,102994278,103257886,1943576044705.41,1908203520080.5,1665817489087.96,1674815945871.77,1649014249607.31,1461567745963.7,1316821592128.16,1293623329358.52,4.00665167510362,4.48659281280673,4.3737883559419,3.78084720704764,4.31558554732781,5.29764711939543,6.49345477676331,7.82265664366544,14.6081439492433,3.83984491500146,1.67244096855756,2.66456133425431,2.53445424186598,2.0759355367385,-0.054999541670474,-0.464499004644911,1345073843306.57,1214991771403.63,986354807112.006,1041840125844.24,1043618103841.31,930698247366.052,823462054677.077,793920913780.177,19414.7416594388,18816.1336904293,16302.7546246465,16355.8581493383,16081.9110638536,14225.8773247545,12785.3859233633,12528.0826430876,76.7900832133555,74.7974010962248,76.0823543627006,77.2668446661451,76.9768226818402,76.9283763556248,76.9698114171911,76.5718777647788,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.68406009674072,4.72159004211426,4.27311992645264,4.24356985092163,4.07755994796753,4.65749979019165,4.81700992584229,NA,2.51611402453431,2.5,2.52427751091795,2.56304881570719,2.62073590405489,2.73233643329195,2.74099846669338,NA,1389.88307515519,1182.08647321946,1090.03601963322,1053.68181948028,939.030372410938,852.665650806526,815.75164395152,3.93679141235007,3.92248994383263,3.98408520339303,4.05709272356252,4.23241467889561,4.44361397043801,4.66177579517617,4.88322517430607
Early-demographic dividend,EAR,3447398652,3411268373,3374383528,3334561751,3292896609,3250752755,3208369547,3165214886,14131148776107.2,12771307369960.5,10981013167791.7,11767656585558.1,11524427704062.7,11393447781978.4,10537028724316.6,10237020101449.3,5.63112979143557,6.65952046894257,7.28948590783761,6.24937981637554,6.71442239238817,6.69497324765732,6.76692970723783,6.86407125750194,7.19861615609867,4.03843012730298,2.95192253170018,2.75709727562775,3.97561015740694,3.4653253940512,3.37153003512095,3.09551722027242,4034631614774.69,3292481302802.8,2459146830303.24,2918615384067.59,2973585953370.41,2684592420848.8,2384315180917.93,2400869083932.24,4099.07591276369,3743.85887403193,3254.22794317044,3528.99645119156,3499.78425455711,3504.86445468793,3284.23162293425,3234.22594362502,69.3164374718329,68.4660405919992,70.0286934138787,71.0147388840035,70.7948250264641,70.5384490311908,70.2163878090451,69.8712079158622,NA,NA,NA,NA,NA,NA,NA,NA,3.61778378486633,3.87249755859375,4.09056520462036,3.48775553703308,3.68916285037994,3.93130993843079,3.83786773681641,3.92036402225494,NA,12.9174584477733,12.4649705086066,11.5996790638977,10.8679871338861,10.8000326109898,11.0990484393741,11.3827405411205,NA,190.769707519947,167.218774684571,165.97481685514,167.363891868308,168.371148588703,162.870035871866,164.897187730755,25.7361188969848,26.638294340899,27.5165569462143,28.5534274800057,29.5764768802479,30.6039746395764,31.8035143056477,32.9701398226771
East Asia & Pacific,EAS,2375208613,2370214403,2363934334,2353856866,2341383691,2327132966,2310721864,2294507020,30663750183419.1,31148240510250.8,27156482410418.4,27032494942206.6,26487859556590.8,24329094912610,22776012762509.5,21995274219766.7,4.10933492731637,4.06177887102328,4.30035312286859,3.81998173042609,3.75027725399733,3.87116311350851,3.99992703895111,4.08907680510536,5.40874375479067,2.410192998372,1.28073361876588,1.70397863236265,2.3126034330156,1.8003422246862,1.27699094497324,0.795279630579839,9675606452790.16,9056456682759.58,7234165900545.51,7550060075747.11,7712299554734.93,7099166757405.5,6410927923517.82,6645678911177.86,12909.9187395962,13141.5286612157,11487.8328132182,11484.3410118407,11312.9085413924,10454.5358035249,9856.66562356527,9586.05662481986,76.902046062456,76.3932950185842,76.7597016880244,76.7976822848408,76.593958850351,76.212440060682,76.1378749593036,75.9487361156154,NA,NA,NA,NA,NA,NA,NA,NA,3.36847960948944,3.33563995361328,3.65287351608276,3.2814131975174,3.26196706295014,3.44198918342591,3.3851774930954,3.50010228157044,NA,3.89608242314794,3.87847847869195,3.86579288192667,3.91460582126148,4.02166436824333,4.18132015759456,4.33349170415779,NA,876.040890486476,792.772733778861,759.598554663175,727.411250228723,671.987062580388,639.374867840748,605.82022957198,11.7,12,12.1,11.9,12.2,12.2,12.7,13.4
East Asia & Pacific (excluding high income),EAP,2129094071,2123610397,2116360715,2106374009,2094506990,2080901482,2065155186,2049740052,21113809331055.5,20840018387172.9,17487334631867.3,17213215781553.2,16640354816152.1,14881098135429.5,13614572556661.5,13323235973753,4.23994599747616,4.12867163385659,4.36840294729948,3.89898080766025,3.80842977966395,3.91708260047549,4.03812090524983,4.12081318672523,5.46343652028003,2.47710241465447,2.41942189457782,1.94257500833107,3.1983464156241,2.91263557371478,1.9173109023338,1.22393195511119,5263994973017.74,4891398606170.84,3825518180272.9,3856879966475.5,3879357034406.29,3541587171161.46,3183513370322.42,3333514325234.64,9916.80434352001,9813.48481652444,8262.92725428299,8171.96552369406,7944.75974327118,7151.27470673284,6592.51791291846,6499.96372015715,76.1785115827895,75.5432912976843,75.9360246370322,76.0020203002054,75.801433724838,75.3859113160495,75.3218632190617,75.1230351733187,NA,NA,NA,NA,NA,NA,NA,NA,2.88738679885864,2.98212432861328,3.21652889251709,3.05360627174377,3.17135858535767,3.44198918342591,3.3851774930954,3.50010228157044,NA,4.00474240305769,4.01251715433031,4.00651699667565,4.05821780526034,4.17575907545074,4.35351176055757,4.52415873624873,NA,515.724729023101,447.99770466508,416.35885754716,390.152996728129,344.200220636917,313.91661692495,308.651227706211,12.2918174531289,12.6482692235105,12.6766737003478,12.5110545052488,12.7368972398296,12.7182007085823,13.3434373152106,14.1033011276375
East Asia & Pacific (IDA & IBRD countries),TEA,2103055378,2097669023,2090523535,2080648616,2068898629,2055414680,2039794828,2024511016,21087707522778,20814269278438.4,17465773779184.1,17192020073785.4,16619890220308.8,14862823962899.4,13597889126598.8,13306887306272.5,4.2578627099005,4.14249578776836,4.38712736243704,3.91382134934695,3.8227222566523,3.93193268866435,4.05340538803135,4.13748670573712,5.51812928576938,2.54479213620963,2.40629214387011,1.93321335810515,2.82871578471278,2.88291164981212,1.75711158908292,1.08648629940414,5257066590652.8,4884919811680.64,3820512395417,3851900179642.2,3874356972159.87,3537044999159.74,3179470105263.78,3329261744011.34,10027.1765277205,9922.57074410658,8354.73673784021,8262.81763368418,8033.20664789751,7231.05858273787,6666.30238489789,6572.88955264077,76.210674453839,75.5711934120901,75.9688903275997,76.0366573507798,75.8356932818659,75.4157333943935,75.3531204811651,75.1521464652061,NA,NA,NA,NA,NA,NA,NA,NA,2.88738679885864,2.98212432861328,3.21652889251709,3.05360627174377,3.17135858535767,3.44198918342591,3.3851774930954,3.50010228157044,NA,3.49090218153742,3.51889090820076,3.52004949863752,3.58177088978366,3.69371618389052,3.89232020095809,4.075252713957,NA,515.743918228408,448.01667740658,416.377701780368,390.172054525948,344.219162760928,313.934755553482,308.668014831324,12.2719565252384,12.6477513601357,12.6678990888019,12.4928983956076,12.713388931264,12.6888498696065,13.3110253896285,14.0720761296858
Euro area,EMU,348331552,346942960,346961127,346517987,346153001,345370612,344683796,343718279,14224347000135.6,14754625131073.3,13155164142399.1,13481146122147.1,13761117139592.9,12736901061170,12025904489799.8,11727106023830.5,6.74582069126458,7.73006694615949,7.82334781813661,7.50602326318793,8.15820119060281,9.05337170464654,10.0286359293483,10.8901555056587,8.47117645590892,2.4865043812082,0.186938139702131,1.44123966942341,1.6892396580413,1.37503641525339,0.166009884375616,-0.0852072296963749,7834729464889.79,7300169681315.47,5965534462754.47,6512325754625.04,6612799415933.71,6013009995817.67,5475190590401.1,5394734192377.71,40835.654761862,42527.524210531,37915.3833633908,38904.6070562194,39754.4354659311,36878.9370566652,34889.6717204536,34118.3659418664,81.7013841071642,81.5949469717165,81.4934312334359,82.281962811136,82.0045418889234,81.8854775039638,81.9086902798181,81.5187535513769,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05046486854553,5.13956999778748,4.76077508926392,4.80485987663269,4.82618498802186,4.8159499168396,4.93930768966675,NA,2.50784883976317,2.50178232762081,2.50358436804609,2.51258812371238,2.52362345757432,2.54254088753276,2.54733935898707,NA,4787.39010044592,4261.99408108328,3989.30175072551,4042.97762502346,3753.00672714098,3561.53311882605,3496.66150485081,2.91931052630884,2.98101328390282,3.01924743477324,3.08651587034016,3.11105489589368,3.13355731698272,3.1861835350955,3.19714957667556
