country,countryiso3code,education_expenditure_2015,education_expenditure_2016,education_expenditure_2017,education_expenditure_2018,education_expenditure_2019,education_expenditure_2020,education_expenditure_2021,education_expenditure_2022,exports_2015,exports_2016,exports_2017,exports_2018,exports_2019,exports_2020,exports_2021,exports_2022,gdp_2015,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020,gdp_2021,gdp_2022,gdp_per_capita_2015,gdp_per_capita_2016,gdp_per_capita_2017,gdp_per_capita_2018,gdp_per_capita_2019,gdp_per_capita_2020,gdp_per_capita_2021,gdp_per_capita_2022,health_expenditure_2015,health_expenditure_2016,health_expenditure_2017,health_expenditure_2018,health_expenditure_2019,health_expenditure_2020,health_expenditure_2021,infant_mortality_rate_2015,infant_mortality_rate_2016,infant_mortality_rate_2017,infant_mortality_rate_2018,infant_mortality_rate_2019,infant_mortality_rate_2020,infant_mortality_rate_2021,infant_mortality_rate_2022,inflation_rate_2015,inflation_rate_2016,inflation_rate_2017,inflation_rate_2018,inflation_rate_2019,inflation_rate_2020,inflation_rate_2021,inflation_rate_2022,life_expectancy_2015,life_expectancy_2016,life_expectancy_2017,life_expectancy_2018,life_expectancy_2019,life_expectancy_2020,life_expectancy_2021,life_expectancy_2022,pm25_air_pollution_2015,pm25_air_pollution_2016,pm25_air_pollution_2017,pm25_air_pollution_2018,pm25_air_pollution_2019,pm25_air_pollution_2020,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020,population_2021,population_2022,undernourishment_rate_2015,undernourishment_rate_2016,undernourishment_rate_2017,undernourishment_rate_2018,undernourishment_rate_2019,undernourishment_rate_2020,undernourishment_rate_2021,unemployment_rate_2015,unemployment_rate_2016,unemployment_rate_2017,unemployment_rate_2018,unemployment_rate_2019,unemployment_rate_2020,unemployment_rate_2021,unemployment_rate_2022
Afghanistan,AFG,3.2558000087738,4.54397010803223,4.34319019317627,4.34319019317627,4.34319019317627,4.34319019317627,4.34319019317627,4.34319019317627,2079570874.83738,2079570874.83738,2079570874.83738,2079570874.83738,2079570874.83738,2079570874.83738,2046123147.09236,2665502824.85876,19134221644.7325,18116572395.0772,18753456497.8159,18053222687.4126,18799444490.1128,19955929052.1496,14266499429.8746,14502158192.0904,566.881129708434,523.053011984748,526.140801025756,492.090630986151,497.741431256813,512.055098005672,355.777826392648,352.603733092107,60.05854034,61.48645782,66.90921783,71.33430481,74.23410797,80.28805542,81.31976318,54.6,53,51.5,50.1,48.8,47.4,46.1,44.8,-0.66170916471352,4.38389195513893,4.97595150553892,0.626149149168983,2.30237251516819,2.30237251516819,2.30237251516819,2.30237251516819,62.659,63.136,63.016,63.081,63.565,62.575,61.982,62.879,73.4908176326415,72.7659101386992,65.8623470043896,67.2271774798558,58.3308722306744,46.0870936659706,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771,21.3,21.8,22.7,24,26.9,28.8,30.1,9.011,10.1,11.184,11.206,11.224,11.71,11.934,14.1
Africa Eastern and Southern,AFE,4.75847005844116,4.66556310653687,4.87887001037598,4.97993087768555,4.94431734085083,4.35243988037109,4.77132606506347,4.62862396240234,216244849609.122,192934874889.512,223979161028.442,256379225272.834,240591463555.333,204732254573.379,281717490233.376,326718547664.83,899295676086.836,829829959319.292,940105480733.676,1012719339457.72,1006527294483.09,929074086484.093,1086772164579.87,1183962133998.87,1498.80508358802,1346.30128120779,1485.7535786147,1558.61207925907,1508.48688648948,1356.08887141531,1545.95669660381,1642.43203899493,93.7748478025413,88.7445659145673,92.9328629491339,92.9642508697595,89.9445460259529,81.4924179824656,92.2863864495709,49.1370605542711,47.7925648637451,46.4228525409571,45.0873693467249,43.8966995613375,42.8588881720741,41.8238205975898,40.7976245515238,5.24587835022454,6.57139642173964,6.39934341569381,4.72080474200535,4.65366473106483,5.40516207933392,7.24097765588442,10.7737512242899,61.8564581403595,62.444050201953,62.9223896233502,63.3658626111831,63.7556779176533,63.313860330682,62.4545896453863,62.8990306485382,25.922851559911447,25.922851559911447,25.922851559911447,25.922851559911447,25.922851559911447,25.922851559911447,600008424,616377605,632746570,649757148,667242986,685112979,702977106,720859132,22.2784435201486,22.9620875206677,23.3376746837336,23.5280263131831,24.3744402986052,25.3212593344848,26.101029193879,6.88031174359159,7.02762996710982,7.12303202761927,7.06844009954607,7.24466987969725,7.66116109948316,7.96449309355542,7.4482217862402
Africa Western and Central,AFW,2.98419797420501,2.66773080825806,3.36085367202759,3.0234580039978,3.04739952087402,3.39874076843262,3.20348429679871,2.90529441833496,857877335803.8926,857877335803.8926,857877335803.8926,857877335803.8926,857877335803.8926,857877335803.8926,857877335803.8926,857877335803.8926,769367317617.821,692181085843.488,685750159763.133,768189587833.624,823933630796.516,787146719022.421,845993047006.805,877140805320.357,1882.51880807768,1648.92026894717,1590.5557849502,1735.44583276662,1813.60914568405,1688.47087082362,1769.17185266776,1788.8753472127,71.6926286025817,62.5061628544771,60.6495252439816,59.4437737904965,61.8668835109289,64.6460439896129,72.9596388302349,68.6722268992438,67.4934964072205,66.3046020873175,65.0073985216766,63.598750347799,62.1598631508913,60.6793347332484,59.1300287464564,2.13081738058791,1.48741550755546,1.72548602374723,1.78404994832039,1.76011151192938,2.43760882182236,3.65353287214209,7.96757361617945,56.1958723463673,56.5816784850503,56.888445830282,57.1891392680655,57.5557955517512,57.2263727312399,56.9886567820139,57.626176164197,25.922851559911447,25.922851559911447,25.922851559911447,25.922851559911447,25.922851559911447,25.922851559911447,408690375,419778384,431138704,442646825,454306063,466189102,478185907,490330870,11.4991884171969,11.5534969610136,11.6934845303224,11.8669185186284,12.8242352037965,13.9089231734595,15.1128497939008,4.20456155793808,4.13994847035832,4.2041704106045,4.22416721373206,4.24794393851122,4.69749668526263,4.52401613539756,3.7377655118933
Albania,ALB,3.43796992301941,3.96209001541138,3.61172008514404,3.15294480323792,3.91623997688293,3.3422999382019,3.02255988121033,2.74432992935181,3104897778.14706,3437126527.98196,4110301305.54485,4785179280.99214,4821429218.47484,3435540416.01473,5613909458.07573,7073859741.47037,11386853113.0189,11861199830.8396,13019726211.7369,15156424015.1977,15401826127.2539,15162734205.2462,17930565118.8176,18916378860.5488,3952.80357364813,4124.05538986272,4531.03220675893,5287.66080067575,5396.2142432843,5343.0377039956,6377.20309553753,6810.11404104233,255.35635376,277.04321289,297.4619751,351.3012085,367.75839233,396.88024902,464.74285889,8.5,8.4,8.3,8.3,8.3,8.4,8.4,8.4,1.89617402592365,1.2754316836741,1.98666133171199,2.02805963071136,1.41109078954246,1.62088661717011,2.04147163139549,6.72520271530048,78.644,78.86,79.047,79.184,79.282,76.989,76.463,76.833,19.121557306579,17.602163992984,18.5552438171978,19.0461862321065,15.70470712234,15.7070036417042,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,4.3,4.2,4.2,4.1,4.1,4.1,4.1,17.193,15.418,13.616,12.304,11.466,12.79,12.473,11.588
Algeria,DZA,6.17633008956909,6.50210857391357,5.73482370376587,5.81275129318237,5.57536554336548,6.1939172744751,5.51403284072876,4.74924659729004,38489004322.7411,33417246978.2851,38609773040.5942,45570702426.4208,39481135535.1468,25613416650.3651,44484853151.5336,70931608671.3632,187493855609.345,180763839522.151,189880896903.073,194554483655.528,193459662090.677,164873415325.201,186265418570.697,225560256621.757,4741.49977033558,4481.08196153066,4615.86874364885,4640.31414537956,4530.10174483631,3794.40952448639,4216.2512851303,5023.25293164928,292.275177,261.40023804,265.83843994,266.46469116,235.99041748,206.03512573,204.56661987,21.7,21.4,21,20.6,20.1,19.7,19.2,18.7,4.78444700693889,6.39769480268757,5.59111590961664,4.26999020467084,1.95176821052892,2.41513094083414,7.22606307415477,9.26551551551553,75.622,75.732,75.743,76.066,76.474,74.453,76.377,77.129,25.6188658260447,25.5531525527547,24.7521457818965,24.9335900639775,24.3886086444981,25.5526558310447,39543154,40339329,41136546,41927007,42705368,43451666,44177969,44903225,2.6,2.6,2.6,2.5,2.5,2.5,2.5,11.206,10.202,12,12.15,12.285,14.04,13.607,12.437
American Samoa,ASM,4.325194104507074,4.325194104507074,4.325194104507074,4.325194104507074,4.325194104507074,4.325194104507074,4.325194104507074,4.325194104507074,428000000,429000000,362000000,436000000,399000000,427000000,332000000,409000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000,13101.5418159165,13300.8246114811,12372.8847825647,13195.9358995539,13672.576657298,15609.7772196843,16653.7137781725,19673.3901023197,1134.1313840094879,1134.1313840094879,1134.1313840094879,1134.1313840094879,1134.1313840094879,1134.1313840094879,1134.1313840094879,22.28918274393044,22.28918274393044,22.28918274393044,22.28918274393044,22.28918274393044,22.28918274393044,22.28918274393044,22.28918274393044,6.822023808598006,6.822023808598006,6.822023808598006,6.822023808598006,6.822023808598006,6.822023808598006,6.822023808598006,6.822023808598006,72.083620902392,72.083620902392,72.083620902392,72.083620902392,72.083620902392,72.083620902392,72.083620902392,72.083620902392,6.34587688465646,6.92969282658657,6.92339918062073,6.98174556652016,6.72853173807719,6.71514739512663,51368,50448,49463,48424,47321,46189,45035,44273,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,7.537396776404586,7.537396776404586,7.537396776404586,7.537396776404586,7.537396776404586,7.537396776404586,7.537396776404586,7.537396776404586
Andorra,AND,3.28034996986389,3.23707008361816,3.21708989143372,3.2467200756073,3.15060997009277,2.63213038444519,2.58397221565247,2.64728999137878,857877335803.8926,857877335803.8926,857877335803.8926,857877335803.8926,857877335803.8926,857877335803.8926,857877335803.8926,857877335803.8926,2789881258.50362,2896610479.73077,3000162081.11976,3218419896.9641,3155149347.80639,2891001149.3611,3324683011.5903,3380602042.84283,38885.5303222983,39931.2169800216,40632.2315521995,42904.8284559223,41328.6004978373,37207.2219994994,42066.4905178822,42350.6970690874,2688.20629883,2755.44848633,2873.29614258,3164.38842773,3026.59741211,3269.29736328,3505.99145508,3.4,3.2,3.1,3,2.9,2.8,2.7,2.6,6.822023808598006,6.822023808598006,6.822023808598006,6.822023808598006,6.822023808598006,6.822023808598006,6.822023808598006,6.822023808598006,72.083620902392,72.083620902392,72.083620902392,72.083620902392,72.083620902392,72.083620902392,72.083620902392,72.083620902392,11.1088936507291,10.1068248002358,10.0219190390452,9.89580638748632,9.01087465277866,9.08028059086901,71746,72540,73837,75013,76343,77700,79034,79824,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,7.537396776404586,7.537396776404586,7.537396776404586,7.537396776404586,7.537396776404586,7.537396776404586,7.537396776404586,7.537396776404586
Angola,AGO,3.09999990463257,2.75493669509888,2.46687889099121,2.18351292610168,2.07306432723999,2.6674473285675,2.2971088886261,2.3321259021759,26926846081.4949,14838933358.413,21373167719.7176,32444713329.5102,28919814315.7895,18583150427.353,31753057852.3914,46353087833.313904,90496420506.5957,52761617225.9253,73690154990.7312,79450688259.3664,70897962732.0277,48501561203.5686,66505129987.7235,104399746853.401,3217.33924005417,1809.70937719455,2439.37443934002,2540.50887884546,2191.34776433537,1450.90511139418,1927.47407827687,2933.48464381415,107.64356232,94.1061554,112.85147095,83.89920044,64.65779114,55.05102158,64.16342163,57.6,55.4,53.4,51.6,49.9,48.4,47,45.7,9.35597215533784,30.6944150806719,29.8444799015679,19.6289379701521,17.080954143438,22.271539247051,25.7542948841891,21.3552901320822,60.655,61.092,61.68,62.144,62.448,62.261,61.643,61.929,25.0021502571501,25.1807008149163,23.9591508117097,24.2650153621146,24.5988113283925,25.1452381976267,28127721,29154746,30208628,31273533,32353588,33428486,34503774,35588987,13.5,14.4,14.7,15.2,17.5,20.1,21.6,16.491,16.58,16.617,16.599,16.497,16.676,15.799,14.693
Antigua and Barbuda,ATG,2.1441957950592,2.25177478790283,2.36592817306519,2.34948754310608,2.30307745933533,2.99340319633484,2.5746488571167,3.6477484703064,1016366666.66667,1043081481.48148,988692592.592592,1037966666.66667,1194092592.59259,591277777.777778,752377777.777778,1021455555.55556,1437755555.55556,1489692592.59259,1531151851.85185,1661529629.62963,1725351851.85185,1410796296.2963,1601366666.66667,1867733333.33333,15985.5411386971,16449.0591470407,16803.8702340001,18133.8226008953,18730.0047966374,15224.8585890561,17178.5437160522,19919.7266867883,784.64538574,812.51092529,785.4710083,849.83349609,801.54382324,875.70098877,923.4072876,9.2,9.1,9,8.8,8.7,8.5,8.3,8.1,0.968993458825638,-0.489437796230499,2.43248789041363,1.20715793367008,1.43135598182984,0.625989707046719,2.06299638545334,7.53107834634288,77.913,78.152,78.268,78.511,78.691,78.841,78.497,79.236,19.7963197860936,19.9208792974299,19.0159494088973,18.9233007168875,19.0584631585727,19.6982695582914,89941,90564,91119,91626,92117,92664,93219,93763,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,10.40303758271943,7.537396776404586,7.537396776404586,7.537396776404586,7.537396776404586,7.537396776404586,7.537396776404586,7.537396776404586,7.537396776404586
Arab World,ARB,4.325194104507074,4.325194104507074,4.325194104507074,4.325194104507074,3.86020994186401,4.325194104507074,4.325194104507074,4.325194104507074,1042989322707.64,953651585024.316,1093287998505.37,1289891302479.46,1249077432910.92,921893911752.067,921893911752.067,921893911752.067,2544136348540.18,2499965913229.88,2571053716382.94,2865543585777.95,2898668715645.56,2576553324185.61,2969116805615.58,3613682354462.24,6258.60722652973,6022.88281755523,6068.60300810317,6624.83465856668,6565.98083975861,5735.50986687093,6503.79337634305,7776.62937958481,337.753756107532,360.470501390027,352.245384276453,367.976209156136,374.958958201344,380.651568760676,401.863401164089,28.0456456398904,27.4713618238956,26.8932613327717,26.4449549512885,25.729853372542,25.0142508021769,24.580502726064,23.971367940196,1.83135233156368,2.37271603075831,2.06932928164433,2.76275077032944,1.04883403678997,1.61222220402456,2.96581008346283,4.99502075060902,70.7582222288211,70.9430622781923,71.4295960025113,71.6330166549463,71.8446260250446,70.9233595872331,70.814483021063,71.227274454743693,25.922851559911447,25.922851559911447,25.922851559911447,25.922851559911447,25.922851559911447,25.922851559911447,406501999,415077960,423664839,432545676,441467739,449228296,456520777,464684914,11.2394350815381,11.7763166369671,12.1460369338527,12.0823833444772,12.0418499632765,11.9864868389581,12.2865795565579,11.0704528945073,10.8073210701761,11.0687158153229,10.5986007596487,10.1413306101718,11.2313838426467,10.7832971150998,9.86965632118725
